,FOOD DELIVERY ANALYISIS REPORT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Total Order ID,,,, Total Commission,,,,Payment Fee,,,,Order Value,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1001,,,,126990,,,,29832,,,,1053969,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Payment_Method,Total Order_ID,,,,,,,,,,,,,,
,Cash on Delivery,1000,,,,,,,,,,,,,,
,Digital Wallet,1000,,,, ,,,,,,,,,,
,Credit Card,1000,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,
